PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
2022,144209034,6129,CNC(=O)OC1=CC=CC2=CC=CC=C21,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2023,144209035,12679,CN(C)P(=O)(N(C)C)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2024,144209036,5361514,CC(C)[C@H](C1=CC=C(C=C1)Cl)C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,Inconclusive,5,,,inconclusive,inconclusive agonist,59.0733,28.1695,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2025,144209037,44073,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
2026,144209038,162461,CC1=C(C=CC(=C1)OC)NC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
2027,144209039,2871,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA
2028,144209040,8209,CCCCCCCCCCCCCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2029,144209041,8345,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2030,144209042,12257,CC(C)OC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2031,144209043,21277,C1=CC(=CC=C1C(Cl)(Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2032,144209044,47866,C1CC1NC2=NC(=NC(=N2)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2033,144209045,8427,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2034,144209046,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2035,144209047,5462814,C(=O)(N)/N=N/C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2036,144209048,54680782,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2037,144209049,2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2038,144209050,11005,CCCCCCCCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2039,144209051,7222,C1=CC=C2C(=C1)N=CS2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2040,144209052,19188,C1=CC=C(C=C1)OCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2041,144209053,11813,CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2042,144209054,18692,C(C(CO)(CBr)CBr)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2043,144209055,8344,COCCOC(=O)C1=CC=CC=C1C(=O)OCCOC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2044,144209056,3437714,CC1=CC2C3CC(C2C1)C=C3C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,Alfa Aesar
2045,144209057,29327,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2046,144209058,12130,CCCN(CCC)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
2047,144209059,14899,CC(C)CCCCCCCOC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2048,144209060,12002,C1=CC(=C(C=C1Br)Br)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2049,144209061,8372,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2050,144209062,62097,CCCCNC(=O)OCC#CI,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,24.4272,-46.5474,inactive,SigmaAldrich
2051,144209063,12525,CC(=O)[O-].CC(=O)[O-].[Mn+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2052,144209064,2728,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2053,144209065,7395,CS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2054,144209066,9903,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,17.7106,inactive,,0,active agonist,10.9193,38.4948,inactive,,0,inactive,SIGMA
2055,144209067,8363,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2056,144209068,667493,CC1=CC(=O)NC(=S)N1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2057,144209069,7255,CC1=C(C=C(C=C1)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2058,144209070,31357,CCCCOP(=O)(OCCCC)OCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,SIGMA
2059,144209071,2723790,C(=S)(N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2060,144209072,6781,CCOC(=O)C1=CC=CC=C1C(=O)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2061,144209073,16562,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2062,144209074,135408793,C1=CC=C2C(=C1)C(=O)NN=N2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,6.34745,37.5835,inactive,SIGMA
2063,144209075,29732,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2064,144209076,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
2065,144209077,62558,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,Inconclusive,5,,,inconclusive,inconclusive,,,inconclusive agonist,58.289,46.0196,inactive,,0,inconclusive antagonist,55.0284,-101.501,inactive,SIGMA
2066,144209078,5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2067,144209079,15600,CCCCCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,2.93994,23.5675,inactive,SigmaAldrich
2068,144209080,166033,[Cl-].[Cl-].[Cl-].[Fe+3],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2069,144209081,4610,C1CCC(C(C1)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2070,144209082,8663,C1=CC=C2C=C(C=CC2=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2071,144209083,8923,CCCCOCCOCCOCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2072,144209084,62882,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2073,144209085,5281,CCCCCCCCCCCCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2074,144209086,8400,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2075,144209087,66,C1=CC(=C(C=C1Cl)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2076,144209088,7289,C(C(CCl)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2077,144209089,8679,C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2078,144209090,237332,C1=C(OC(=C1)C=O)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,Pfaltz-Bauer
2079,144209091,11432,C1=NN=CN1N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2080,144209092,5283349,CCCCC/C=C/C=C/C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2081,144209093,7026,CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2082,144209094,38479,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2083,144209095,17730,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2084,144209096,16278,CC(=O)CC(=O)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
2085,144209097,7488,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2086,144209098,13583,CCCCCCCCCCCCN,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2087,144209099,6327114,CO[P+](=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2088,144209100,13522,CCO[Si](CCC#N)(OCC)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2089,144209101,8906,CCCCCCCCCCCCOC(=O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2090,144209102,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2091,144209103,5987,NS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2092,144209104,11933,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2093,144209105,8445,CC1=CC(=C(C=C1)OC)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2094,144209106,11860,C1=C(C=C(C(=C1Cl)N)Cl)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2095,144209107,7375,C1=CC(=CC(=C1)N)C(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2096,144209108,3485262,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],Inactive,0,,,inactive,inactive,,0,active agonist,7.31485,74.6649,active agonist,10.9447,32.4527,active antagonist,4.79592,-96.0267,inactive,SIGMA
2097,144209109,3589,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,58.46,-113.528,inactive,Pfaltz-Bauer
2098,144209110,12329,COC(=O)CCCCC(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SIGMA
2099,144209111,36242,CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SIGMA
2100,144209112,7355,CC(=C)C(=O)OCCOC(=O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2101,144209113,6336,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2102,144209114,71157,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2103,144209115,32933,CCCCCCCCCCC=CC1CC(=O)OC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,Sensient
2104,144209116,1110,C(CC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2105,144209117,16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2106,144209118,7269,CC1=CC(=C(C=C1C)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2107,144209119,8285,C(C(CO)(CO)CO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2108,144209120,23667638,C1(=NC(=O)N(C(=O)N1Cl)Cl)[O-].O.O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2109,144209121,27461,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Fe+3],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2110,144209122,6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2111,144209123,1183,COC1=C(C=CC(=C1)C=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2112,144209124,4754,CCOC1=CC=C(C=C1)NC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2113,144209125,7421,CN(C)C1=CC(=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA
2114,144209126,15106,C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,48.9303,-91.7211,inconclusive,SIGMA
2115,144209127,6559,CC(C)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2116,144209128,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,SIGMA
2117,144209129,6028,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,7.60138,-35.417,inactive,SigmaAldrich
2118,144209130,7463,CC1=CC=C(C=C1)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2119,144209131,6184,CCCCCC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
2120,144209132,5125,CCCCSP(=O)(SCCCC)SCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
2121,144209133,79878,CCN(CC)C1=CC(=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
2122,144209134,70837,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2123,144209135,5780,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2124,144209136,17004,CC1=CC(=C(C=C1)O)C(C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,SigmaAldrich
2125,144209137,10708,C1=CC(=C(C=C1C(=O)O)C(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2126,144209138,12021,COC(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2127,144209139,342,CC1=CC(=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2128,144209140,713,C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,LKT Lab
2129,144209141,31244,COC1=CC=C(C=C1)C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2130,144209142,5147,C1=CC=C(C(=C1)C(=O)N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2131,144209143,7444,CC1=C(C=C(C=C1)[N+](=O)[O-])N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2132,144209144,9076,CCOC1=CC=C(C=C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2133,144209145,6720,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2134,144209146,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2135,144209147,13624,C1=CC=C2C(=C1)NC(=N2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2136,144209148,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2137,144209149,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2138,144209150,24730,CC(CN(CC(C)O)CC(C)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2139,144209151,75576,C1=CC=C(C(=C1)CC2=CC=C(C=C2)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
2140,144209152,12736,C(CCCCCC(=O)O)CCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SIGMA
2141,144209153,2566,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2142,144209154,6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,59.1162,-116.387,inactive,SigmaAldrich
2143,144209155,31288,CCCCOCCOCCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2144,144209156,15278,CC1(CC2=C(O1)C(=CC=C2)O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2145,144209157,60196372,CC1C=C[C-]=C1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Mn],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2146,144209158,7371,C1=CC=C(C=C1)S(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SigmaAldrich
2147,144209159,8560,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2148,144209160,12968,CCCN(CCC)C(=O)SCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
2149,144209161,3121,CCCC(CCC)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inconclusive agonist,,,inactive,SIGMA
2150,144209162,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,48.7806,-129.319,inactive,LKT Lab
2151,144209163,2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2152,144209164,7970,CC1=CN=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2153,144209165,445639,CCCCCCCC/C=C\CCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2154,144209166,4944,CC(C)OC1=CC=CC=C1OC(=O)NC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2155,144209167,37123,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2156,144209168,86607,CCC(C)OC(=O)C1=CC=C(C=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
2157,144209169,560256,CN(C)C(=S)[S-].[Na+],Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inconclusive agonist,4.4529,29.0152,inactive,,0,active antagonist,4.20381,-60.6546,inactive,TCI
2158,144209170,9481,C1=CC(=C(C=C1C(F)(F)F)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2159,144209171,7615,CC(CN(CCN(CC(C)O)CC(C)O)CC(C)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2160,144209172,7677,C1CN(CCN1)CCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2161,144209173,7870,CC(CC(C)(C)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2162,144209174,6327349,CCCCO[P+](=O)OCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2163,144209175,7516,C1=CC=C(C=C1)NN,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,9.94203,inactive,,0,inactive,SIGMA
2164,144209176,18635,CSCCC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2165,144209177,10255083,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SIGMA
2166,144209178,4284,CCN(CC)C(=O)C1=CC=CC(=C1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
